Year,Caribbean small states CO2 Ouput,Caribbean small states Lag,Central Europe and the Baltics CO2 Output,Central Europe and the Baltics Lag,East Asia & Pacific CO2 Output,East Asia & Pacific Lag,Europe & Central Asia CO2 Output,Europe & Central Asia Lag,Latin America & Caribbean CO2 Output,Latin America & Caribbean Lag,Middle East & North Africa CO2 Output,Middle East & North Africa Lag,North America CO2 Output,North America Lag,Other small states CO2 Output,Other small states Lag,Pacific island small states CO2 Output,Pacific island small states Lag,South Asia CO2 Output,South Asia Lag,Sub-Saharan Africa CO2 Output,Sub-Saharan Africa Lag,World CO2 Output,World Lag
1960,1.40133635,,5.22890328,,1.182972608,,7.253356013,,1.376666311,,0.940739853,,15.52999501,,0.81300265,,0.375594206,,0.264732969,,0.556019582,,3.121158107,
1961,2.059981254,47.00120025,5.460761919,4.434173412,1.022153677,-13.59447631,7.415604227,2.236870956,1.370715508,-0.432261831,0.973669607,3.500410224,15.22591183,-1.958037847,0.995630009,22.46331657,0.390824504,4.054987472,0.278026645,5.021541537,0.568223147,2.194808491,3.068090418,-1.700256353
1962,2.703741229,31.25076861,5.796790472,6.153510407,0.925117471,-9.493308901,7.73822894,4.350619358,1.416589701,3.346733347,1.03488403,6.28698098,15.57257227,2.276779505,0.997926065,0.230613378,0.4701416,20.2948114,0.299625306,7.768557938,0.574431363,1.092566544,3.114839453,1.523717643
1963,1.350230132,-50.06067454,6.212908524,7.178421473,0.945461548,2.199080402,8.189670354,5.833911319,1.377124267,-2.785946698,1.169979347,13.05415033,15.99706747,2.725915749,2.087976591,109.2315918,0.47706161,1.471899104,0.318525547,6.307958848,0.587967367,2.356417994,3.221195326,3.414489723
1964,2.362952174,75.00366182,6.612333622,6.428955077,0.97457012,3.078768466,8.517185137,3.999120463,1.445430536,4.960065743,1.323094575,13.08700264,16.54338452,3.415107494,2.218070465,6.230619374,0.723222252,51.59933997,0.307700506,-3.398484392,0.629941305,7.138821022,3.32404569,3.192925408
1965,2.601911806,10.11275787,6.765929428,2.322868367,1.036636055,6.368544831,8.816231779,3.511097119,1.451086346,0.391288952,1.534246693,15.95895879,17.02698453,2.923222932,2.175650782,-1.912458764,0.614723552,-15.00212413,0.328889183,6.886136547,0.682315986,8.314216036,3.432394516,3.259546833
1966,2.529154305,-2.796309269,6.930168059,2.42743636,1.09112059,5.255898127,9.114528997,3.383500179,1.482761423,2.182852667,1.706669306,11.23825874,17.64292429,3.617433016,2.130234177,-2.08749517,0.601652148,-2.126387375,0.331782873,0.879837389,0.679236184,-0.451374739,3.534191045,2.965758409
1967,2.976362509,17.68212414,7.143074036,3.072161818,1.0748875,-1.487744815,9.335340675,2.422633995,1.557422865,5.035297037,1.771404059,3.793046068,18.15419062,2.897854809,2.393053299,12.3375695,0.672439768,11.76553931,0.329633906,-0.647702813,0.688800677,1.408124777,3.585995251,1.465800952
1968,2.938122789,-1.284780328,7.561579657,5.858900788,1.164343423,8.322352153,9.665967546,3.541669046,1.613820852,3.621237897,1.994392954,12.58825697,18.67382277,2.862326175,2.735139885,14.29498399,0.696223498,3.536930909,0.354107668,7.424528107,0.686425617,-0.344810927,3.704543018,3.305853988
1969,3.076164721,4.69830371,8.067365367,6.68888953,1.320421097,13.40477997,10.08133776,4.297244037,1.712493396,6.114219176,2.251860328,12.90956095,19.36723929,3.713307814,2.592878281,-5.201255145,0.744271305,6.901204446,0.35026156,-1.08614084,0.726346253,5.815726426,3.875169073,4.605859729
1970,4.283398768,39.24477902,8.350394198,3.508317996,1.59326071,20.66307586,10.61122113,5.256081907,1.843995713,7.678997029,2.330219872,3.479769283,20.63304563,6.535811951,4.277469045,64.96991302,0.839270073,12.76399713,0.349332934,-0.265123584,0.780389068,7.44036536,4.147851485,7.036658449
1971,5.059526098,18.1194274,8.560477886,2.51585354,1.695558532,6.420658048,10.97774628,3.454127904,1.887235076,2.344873293,2.551866577,9.511836529,20.51119886,-0.590541853,4.578762435,7.043730459,0.926856966,10.43607961,0.352442164,0.890047773,0.874866188,12.10641254,4.23178829,2.023621272
1972,5.103337988,0.865928728,8.874687268,3.670465436,1.743842621,2.84768046,11.3960301,3.810288645,1.929528782,2.241040692,2.670462292,4.64741049,21.31108396,3.899748159,5.320152836,16.19193858,0.940616829,1.484572432,0.328871082,-6.687929087,0.898086219,2.654123718,4.347295292,2.729508049
