Year,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP)","Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)",Population ages 65 and above (% of total population),CO2 emissions (metric tons per capita)
1960,Australia,AUS,,3.453,70.81707317,24.8,8.610617613,8.582936643
1960,Caribbean small states,CSS,,5.60034003,62.74630572,,4.136085043,1.40133635
1960,Central African Republic,CAF,,5.84,36.249,283.1,4.99810877,0.058606829
1960,Central Europe and the Baltics,CEB,,2.497094093,67.82138864,,7.214898676,5.22890328
1960,East Asia & Pacific,EAS,,5.393637012,48.42912109,,3.865390172,1.182972608
1960,Europe & Central Asia,ECS,,2.836865261,67.02654187,,8.405570004,7.253356013
1960,Latin America & Caribbean,LCN,,5.882474304,56.07766645,,3.58994491,1.376666311
1960,Middle East & North Africa,MEA,,6.906805557,46.44164378,,3.695879567,0.940739853
1960,North America,NAC,,3.668386718,69.89360376,,8.9879342,15.52999501
1960,Sub-Saharan Africa,SSF,,6.600868789,40.3778968,,3.024675105,0.556019582
1960,World,WLD,,4.979299498,52.58193875,,4.970172277,3.121158107
1961,Australia,AUS,,3.54,70.97317073,24.3,8.630203592,8.641569017
1961,Caribbean small states,CSS,,5.613679491,63.12612953,,4.206508914,2.059981254
1961,Central African Republic,CAF,,5.867,36.715,277.5,4.992772265,0.057670192
1961,Central Europe and the Baltics,CEB,,2.400683367,68.26219834,,7.401194221,5.460761919
1961,East Asia & Pacific,EAS,,5.474658973,48.92768911,,3.891735792,1.022153677
1961,Europe & Central Asia,ECS,,2.823628629,67.38864125,,8.516753108,7.415604227
1961,Latin America & Caribbean,LCN,,5.871320943,56.54932327,,3.630654385,1.370715508
1961,Middle East & North Africa,MEA,,6.921688223,47.54702804,,3.709296059,0.973669607
1961,North America,NAC,,3.632240494,70.36801738,,9.05616904,15.22591183
1961,Sub-Saharan Africa,SSF,,6.617008347,40.82470979,,3.037336871,0.568223147
1961,World,WLD,,5.003564277,53.07512812,,5.016769657,3.068090418
1962,Australia,AUS,,3.442,70.94243902,23.7,8.640326692,8.835688047
1962,Caribbean small states,CSS,,5.604207305,63.47645324,,4.285859522,2.703741229
1962,Central African Republic,CAF,,5.891,37.19,272.3,4.983536416,0.047257956
1962,Central Europe and the Baltics,CEB,,2.309179415,68.00692564,,7.608173571,5.796790472
1962,East Asia & Pacific,EAS,,5.548913906,49.59176155,,3.877320641,0.925117471
1962,Europe & Central Asia,ECS,,2.804075415,67.48004143,,8.629362589,7.73822894
1962,Latin America & Caribbean,LCN,,5.847855483,57.00527528,,3.666860054,1.416589701
1962,Middle East & North Africa,MEA,,6.933832268,48.14301857,,3.715109933,1.03488403
1962,North America,NAC,,3.481316723,70.2327068,,9.116055323,15.57257227
1962,Sub-Saharan Africa,SSF,,6.632195146,41.26041742,,3.040912668,0.574431363
1962,World,WLD,,5.025367418,53.49244346,,5.042382596,3.114839453
1963,Australia,AUS,,3.332,70.91170732,23.2,8.64249531,9.226439909
1963,Caribbean small states,CSS,,5.571821184,63.80444039,,4.368484849,1.350230132
1963,Central African Republic,CAF,,5.91,37.683,266.5,4.966284025,0.04643609
1963,Central Europe and the Baltics,CEB,,2.313874438,68.69604737,,7.829958724,6.212908524
1963,East Asia & Pacific,EAS,,5.623323081,50.55753933,,3.835695711,0.945461548
1963,Europe & Central Asia,ECS,,2.798283523,67.74718001,,8.746071683,8.189670354
1963,Latin America & Caribbean,LCN,,5.810633911,57.44665667,,3.699249789,1.377124267
1963,Middle East & North Africa,MEA,,6.940577105,48.23119874,,3.714547987,1.169979347
1963,North America,NAC,,3.345696904,70.05038739,,9.174509027,15.99706747
1963,Sub-Saharan Africa,SSF,,6.646466787,41.68335655,,3.036369782,0.587967367
1963,World,WLD,,5.045550595,54.01753898,,5.052033206,3.221195326
1964,Australia,AUS,,3.146,70.88097561,22.7,8.635085083,9.759073431
1964,Caribbean small states,CSS,,5.517187587,64.1137962,,4.452046609,2.362952174
1964,Central African Republic,CAF,,5.925,38.201,260.4,4.935298418,0.04559193
1964,Central Europe and the Baltics,CEB,,2.258711678,69.05248454,,8.058124217,6.612333622
1964,East Asia & Pacific,EAS,,5.681401715,51.74364988,,3.785886046,0.97457012
1964,Europe & Central Asia,ECS,,2.788440328,68.1418944,,8.869343447,8.517185137
1964,Latin America & Caribbean,LCN,,5.759288059,57.87529204,,3.728875949,1.445430536
1964,Middle East & North Africa,MEA,,6.940658403,48.82611077,,3.709857594,1.323094575
1964,North America,NAC,,3.214764533,70.31320505,,9.236616559,16.54338452
1964,Sub-Saharan Africa,SSF,,6.659067775,42.09456971,,3.024766119,0.629941305
1964,World,WLD,,5.056470116,54.6875302,,5.056444973,3.32404569
